Model,RMSE,MAE,R²,MAPE,CV_RMSE,CV_R²
Random Forest,23.3147236650895,18.098902284862444,0.7957869983584709,16.62095427790629,23.908425171868842,0.7882621274600042
XGBoost,23.374765463909878,18.173989631075482,0.794733835193359,16.76080101676413,24.00012735582488,0.7866206829671548
Gradient Boosting,23.387916081067992,18.16415269598264,0.7945028051891232,16.767157184963427,24.06547596832685,0.7854698067193955
Linear Regression,34.55915977414418,27.218258780036575,0.5513071033002689,28.488046732522466,35.01081082842644,0.5459851211603948
